"Roll
No.",Student Name,09-Jan,10-Jan,16-Jan,17-Jan,23-Jan,24-Jan,30-Jan,31-Jan,Curent Month's Lect.,,,Overall Lect.,,
,,,,,,,,,,Att.,Del.,%,Att.,Del.,%
1,Max,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
2,Mia,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
3,zee,P,P, ,P,A,P,P,P,7,8,88%,7,8,88%
4,xhan,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
5,sikndr,P,P,P,P,P,A,A,P,6,8,75%,6,8,75%
6,king,P,P, ,P,A, ,P,P,7,8,88%,7,8,88%
7,paul,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
8,romn,P,P,P,P,A,A,A,A,4,8,50%,4,8,50%
9,cena,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
10,mehmhd,P,P,P,P,A,P,P,A,6,8,75%,6,8,75%
11,fatih,P,P,P,P,A,A,P,P,6,8,75%,6,8,75%
12,Aman,P,P,P,P,P,P,A,P,7,8,88%,7,8,88%
13,Ali ,P,P,P,P,A, ,P,P, ,8,75%,6,8,75%
14, Musf,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
15,khan,P,P,P,P,A,P,A,A,5,8,63%,5,8,63%
16,Done,P,P,P,P,A,P,P,P,7,8,88%,7,8,88%
17, Shahmer,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
18, Areda,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
19, Faroqi,P,P,P,P,P,A,P,P, ,8,88%,7,8,88%
20, Hamid,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
21,Mustafa,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
22, Bhadar,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
23, xder,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
24,Alia,P,P,P,P,P,A,P,P,7,8,88%,7,8,88%
25,Uzma,P,P,P,P,A,P,P,P,7,8,88%,7,8,88%
26, Mustfier,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
27,Sam,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
28,Jsh,P,P,P,P,A,P,P,P,7,8,88%,7,8,88%
29,josh,P,P,P,P,P,P,P,P,8,8,100%,8,8,100%
30,syed,P,P,P,P,P,A,A,P,6,8,75%,6,8,75%
31,Aniza,P,P,P,P,P,A,P,P,7,8,88%,7,8,88%
32,Misbal,P,P,P,P,A,P,P,P,7,8,88%,7,8,88%
33,Alia,P,P,P,P,A,A,P,A,5,8,63%,5,8,63%
